game_mode,match_id,radiant_win,player_0_hero,player_0_gold_10m,player_0_lh_10m,player_0_dn_10m,player_0_xp_10m,player_0_kills_10m,player_0_buy_items_10m,player_1_hero,player_1_gold_10m,player_1_lh_10m,player_1_dn_10m,player_1_xp_10m,player_1_kills_10m,player_1_buy_items_10m,player_2_hero,player_2_gold_10m,player_2_lh_10m,player_2_dn_10m,player_2_xp_10m,player_2_kills_10m,player_2_buy_items_10m,player_3_hero,player_3_gold_10m,player_3_lh_10m,player_3_dn_10m,player_3_xp_10m,player_3_kills_10m,player_3_buy_items_10m,player_4_hero,player_4_gold_10m,player_4_lh_10m,player_4_dn_10m,player_4_xp_10m,player_4_kills_10m,player_4_buy_items_10m,player_5_hero,player_5_gold_10m,player_5_lh_10m,player_5_dn_10m,player_5_xp_10m,player_5_kills_10m,player_5_buy_items_10m,player_6_hero,player_6_gold_10m,player_6_lh_10m,player_6_dn_10m,player_6_xp_10m,player_6_kills_10m,player_6_buy_items_10m,player_7_hero,player_7_gold_10m,player_7_lh_10m,player_7_dn_10m,player_7_xp_10m,player_7_kills_10m,player_7_buy_items_10m,player_8_hero,player_8_gold_10m,player_8_lh_10m,player_8_dn_10m,player_8_xp_10m,player_8_kills_10m,player_8_buy_items_10m,player_9_hero,player_9_gold_10m,player_9_lh_10m,player_9_dn_10m,player_9_xp_10m,player_9_kills_10m,player_9_buy_items_10m
22,4233792665,0.0,62.0,2337.0,12.0,2.0,2220.0,2.0,12.0,71.0,2293.0,11.0,0.0,2139.0,3.0,12.0,14.0,1693.0,6.0,2.0,1942.0,1.0,14.0,74.0,2873.0,31.0,18.0,3048.0,1.0,18.0,44.0,3247.0,42.0,21.0,3068.0,1.0,11.0,11.0,3790.0,43.0,13.0,4046.0,0.0,17.0,35.0,2228.0,27.0,7.0,2174.0,0.0,9.0,105.0,2524.0,11.0,0.0,2530.0,2.0,18.0,15.0,3836.0,39.0,14.0,3176.0,3.0,19.0,26.0,1582.0,5.0,3.0,2055.0,0.0,10.0
22,4233792657,0.0,2.0,2064.0,24.0,2.0,2276.0,0.0,8.0,27.0,1456.0,6.0,1.0,1468.0,0.0,12.0,11.0,2895.0,42.0,11.0,3684.0,0.0,15.0,93.0,4281.0,73.0,18.0,3813.0,1.0,15.0,90.0,1862.0,18.0,2.0,2000.0,0.0,17.0,73.0,4232.0,50.0,13.0,2923.0,0.0,6.0,21.0,4149.0,45.0,8.0,5504.0,4.0,15.0,14.0,1993.0,5.0,0.0,1645.0,3.0,14.0,41.0,2476.0,32.0,3.0,3298.0,0.0,10.0,50.0,1758.0,7.0,2.0,1698.0,1.0,16.0
22,4233792643,1.0,86.0,1783.0,4.0,2.0,1973.0,1.0,16.0,62.0,2451.0,24.0,9.0,2775.0,0.0,17.0,14.0,3011.0,34.0,8.0,2731.0,2.0,16.0,93.0,1639.0,12.0,9.0,1586.0,0.0,14.0,84.0,1277.0,2.0,2.0,1659.0,0.0,8.0,101.0,1608.0,1.0,2.0,1600.0,1.0,16.0,40.0,3769.0,44.0,13.0,5154.0,2.0,15.0,104.0,3260.0,44.0,14.0,2565.0,1.0,16.0,26.0,1280.0,4.0,3.0,1711.0,0.0,9.0,67.0,2489.0,33.0,8.0,2074.0,0.0,7.0
22,4233792608,1.0,54.0,4246.0,63.0,38.0,3786.0,0.0,13.0,62.0,1613.0,4.0,1.0,1361.0,1.0,7.0,69.0,3027.0,30.0,3.0,3116.0,1.0,15.0,50.0,2166.0,6.0,1.0,1863.0,3.0,13.0,25.0,4983.0,62.0,4.0,5742.0,3.0,21.0,17.0,2569.0,32.0,12.0,3982.0,0.0,17.0,93.0,3761.0,47.0,14.0,3300.0,2.0,16.0,7.0,2187.0,4.0,1.0,1651.0,2.0,13.0,84.0,1638.0,3.0,0.0,1725.0,1.0,14.0,2.0,1859.0,23.0,0.0,1639.0,0.0,9.0
22,4233792544,0.0,35.0,3144.0,27.0,8.0,3368.0,3.0,12.0,78.0,3492.0,40.0,8.0,2601.0,3.0,15.0,64.0,1555.0,0.0,1.0,2445.0,0.0,12.0,8.0,3540.0,23.0,6.0,2756.0,5.0,15.0,50.0,3095.0,4.0,5.0,3124.0,5.0,20.0,9.0,4621.0,41.0,18.0,6462.0,4.0,24.0,26.0,1323.0,0.0,4.0,1939.0,0.0,10.0,16.0,2853.0,24.0,3.0,2757.0,2.0,13.0,44.0,2647.0,29.0,11.0,2065.0,1.0,15.0,31.0,2121.0,8.0,10.0,2072.0,3.0,16.0
22,4233792519,0.0,14.0,1191.0,0.0,1.0,1581.0,0.0,12.0,62.0,3076.0,38.0,22.0,2739.0,0.0,11.0,42.0,2533.0,16.0,6.0,1575.0,2.0,14.0,26.0,1737.0,5.0,2.0,2017.0,0.0,16.0,35.0,3237.0,44.0,8.0,4157.0,1.0,19.0,59.0,2744.0,25.0,8.0,3249.0,3.0,10.0,87.0,1931.0,6.0,2.0,1988.0,2.0,12.0,102.0,2032.0,19.0,7.0,3020.0,1.0,13.0,44.0,2652.0,23.0,6.0,2000.0,3.0,18.0,71.0,1932.0,5.0,5.0,1624.0,1.0,10.0
22,4233792516,0.0,74.0,3452.0,34.0,12.0,3979.0,3.0,10.0,48.0,3014.0,25.0,11.0,3275.0,3.0,16.0,71.0,2891.0,19.0,3.0,2706.0,2.0,10.0,30.0,2435.0,10.0,4.0,2397.0,3.0,15.0,68.0,1550.0,3.0,6.0,1267.0,0.0,11.0,7.0,3471.0,35.0,13.0,2950.0,2.0,18.0,41.0,3136.0,36.0,18.0,3184.0,2.0,12.0,86.0,1586.0,4.0,8.0,1623.0,1.0,10.0,44.0,3666.0,51.0,15.0,4145.0,1.0,11.0,14.0,2037.0,5.0,0.0,1977.0,2.0,16.0
22,4233792483,0.0,7.0,2148.0,1.0,0.0,1931.0,1.0,10.0,86.0,1578.0,3.0,2.0,1386.0,0.0,10.0,69.0,3356.0,29.0,0.0,2820.0,2.0,10.0,10.0,3304.0,45.0,19.0,3253.0,0.0,11.0,59.0,3327.0,38.0,6.0,3487.0,3.0,15.0,82.0,4560.0,87.0,22.0,4778.0,1.0,21.0,85.0,2203.0,11.0,3.0,2202.0,2.0,16.0,27.0,1576.0,4.0,1.0,983.0,0.0,18.0,78.0,4327.0,43.0,21.0,3925.0,4.0,13.0,29.0,2058.0,18.0,4.0,3272.0,1.0,16.0
22,4233792466,1.0,21.0,2350.0,17.0,5.0,2277.0,2.0,9.0,26.0,1871.0,5.0,4.0,2058.0,2.0,13.0,59.0,3233.0,22.0,14.0,4704.0,4.0,17.0,20.0,1710.0,5.0,4.0,1575.0,0.0,11.0,8.0,3743.0,43.0,16.0,3541.0,3.0,14.0,22.0,2059.0,22.0,10.0,2050.0,0.0,14.0,101.0,1391.0,1.0,2.0,1707.0,1.0,16.0,28.0,3299.0,42.0,8.0,2981.0,1.0,10.0,33.0,3478.0,53.0,9.0,3163.0,1.0,8.0,6.0,2330.0,28.0,9.0,2467.0,0.0,12.0
22,4233792445,1.0,105.0,1418.0,0.0,1.0,1933.0,1.0,8.0,114.0,4523.0,58.0,25.0,3007.0,3.0,18.0,20.0,1608.0,9.0,10.0,2021.0,0.0,15.0,6.0,1937.0,17.0,4.0,2021.0,0.0,5.0,62.0,2719.0,23.0,5.0,3829.0,0.0,10.0,41.0,2472.0,35.0,9.0,2078.0,0.0,9.0,31.0,1228.0,7.0,0.0,1779.0,0.0,10.0,84.0,1014.0,0.0,1.0,1100.0,0.0,9.0,13.0,1978.0,23.0,3.0,3295.0,0.0,9.0,44.0,2067.0,19.0,3.0,1915.0,1.0,11.0
22,4233792418,1.0,31.0,1775.0,2.0,1.0,2380.0,2.0,15.0,8.0,3698.0,52.0,11.0,4037.0,1.0,13.0,23.0,3152.0,42.0,13.0,4454.0,0.0,15.0,30.0,2244.0,2.0,0.0,1636.0,4.0,17.0,2.0,3599.0,55.0,2.0,2781.0,2.0,14.0,4.0,2673.0,32.0,10.0,2937.0,0.0,14.0,78.0,2796.0,29.0,1.0,3335.0,1.0,13.0,68.0,1582.0,1.0,0.0,2001.0,1.0,13.0,67.0,3230.0,32.0,5.0,2942.0,2.0,20.0,62.0,1542.0,3.0,1.0,1224.0,0.0,17.0
22,4233792386,1.0,86.0,1526.0,2.0,5.0,1874.0,0.0,13.0,61.0,3798.0,61.0,8.0,4984.0,1.0,15.0,103.0,3815.0,46.0,8.0,3517.0,3.0,11.0,33.0,2618.0,21.0,26.0,2068.0,3.0,16.0,84.0,1820.0,3.0,4.0,2272.0,5.0,14.0,14.0,1869.0,10.0,1.0,1494.0,1.0,15.0,107.0,2425.0,18.0,2.0,2134.0,2.0,18.0,10.0,3423.0,60.0,14.0,4238.0,0.0,24.0,41.0,2480.0,24.0,13.0,2040.0,1.0,18.0,40.0,1856.0,2.0,1.0,1823.0,2.0,16.0
22,4233792385,0.0,2.0,2850.0,33.0,1.0,3144.0,2.0,14.0,12.0,3277.0,40.0,6.0,4033.0,1.0,16.0,4.0,2035.0,34.0,0.0,1691.0,0.0,11.0,95.0,3589.0,44.0,27.0,3367.0,1.0,17.0,75.0,1967.0,1.0,1.0,2106.0,2.0,16.0,17.0,3602.0,33.0,3.0,3930.0,4.0,13.0,119.0,1604.0,2.0,0.0,1613.0,0.0,12.0,14.0,2525.0,1.0,1.0,1537.0,5.0,19.0,110.0,1508.0,3.0,1.0,2521.0,0.0,9.0,41.0,4246.0,61.0,30.0,4022.0,1.0,17.0
22,4233792368,1.0,41.0,3289.0,49.0,14.0,3473.0,0.0,16.0,96.0,2466.0,26.0,3.0,1784.0,1.0,14.0,31.0,2217.0,8.0,4.0,1711.0,3.0,14.0,50.0,1839.0,7.0,2.0,1371.0,2.0,18.0,49.0,2909.0,43.0,0.0,3736.0,0.0,20.0,10.0,3484.0,49.0,20.0,4805.0,1.0,20.0,9.0,3781.0,34.0,10.0,4072.0,4.0,22.0,54.0,3810.0,45.0,20.0,2683.0,3.0,13.0,26.0,1791.0,4.0,2.0,2026.0,1.0,13.0,14.0,1808.0,2.0,1.0,1363.0,2.0,15.0
22,4233792363,0.0,101.0,2374.0,9.0,3.0,2813.0,3.0,17.0,93.0,2240.0,18.0,7.0,1951.0,1.0,14.0,70.0,4176.0,25.0,8.0,3983.0,7.0,21.0,42.0,2796.0,53.0,0.0,2759.0,0.0,5.0,59.0,2674.0,25.0,8.0,3309.0,2.0,8.0,5.0,1199.0,1.0,1.0,1485.0,0.0,9.0,104.0,3811.0,37.0,3.0,2831.0,3.0,11.0,67.0,3013.0,41.0,10.0,2282.0,0.0,9.0,36.0,1908.0,4.0,4.0,2051.0,1.0,15.0,35.0,2634.0,30.0,16.0,4032.0,1.0,15.0
22,4233792362,1.0,102.0,1214.0,5.0,3.0,1042.0,0.0,13.0,85.0,1460.0,8.0,0.0,1599.0,0.0,16.0,94.0,3719.0,55.0,24.0,3911.0,1.0,11.0,82.0,3021.0,36.0,14.0,2441.0,1.0,11.0,23.0,3812.0,59.0,5.0,4463.0,1.0,17.0,14.0,1527.0,2.0,2.0,1767.0,0.0,9.0,81.0,2761.0,26.0,9.0,2453.0,1.0,15.0,16.0,1838.0,6.0,1.0,2123.0,2.0,12.0,71.0,2195.0,8.0,3.0,1455.0,1.0,7.0,9.0,2558.0,24.0,5.0,3767.0,1.0,15.0
22,4233792356,1.0,48.0,2357.0,20.0,7.0,2140.0,0.0,14.0,104.0,3150.0,47.0,8.0,2878.0,1.0,12.0,84.0,1744.0,1.0,1.0,1994.0,2.0,12.0,22.0,3579.0,34.0,6.0,3975.0,3.0,13.0,30.0,2332.0,10.0,4.0,2132.0,3.0,16.0,97.0,3442.0,38.0,13.0,2654.0,2.0,13.0,17.0,4243.0,39.0,10.0,5660.0,4.0,12.0,59.0,2058.0,25.0,5.0,1908.0,0.0,8.0,40.0,2147.0,14.0,2.0,2147.0,2.0,12.0,14.0,1542.0,7.0,7.0,1915.0,0.0,13.0
22,4233792341,1.0,40.0,1607.0,11.0,0.0,1572.0,0.0,13.0,48.0,2876.0,32.0,2.0,2465.0,3.0,18.0,42.0,3084.0,42.0,8.0,2466.0,0.0,11.0,121.0,1857.0,6.0,7.0,2306.0,1.0,15.0,19.0,4132.0,52.0,10.0,4640.0,3.0,11.0,93.0,2734.0,39.0,3.0,1933.0,0.0,13.0,73.0,3188.0,30.0,10.0,3477.0,0.0,8.0,85.0,2716.0,32.0,12.0,2356.0,2.0,16.0,86.0,1529.0,2.0,1.0,2140.0,1.0,9.0,110.0,1474.0,6.0,5.0,1971.0,0.0,11.0
22,4233792304,1.0,50.0,1690.0,2.0,0.0,1057.0,1.0,13.0,95.0,4417.0,57.0,27.0,2860.0,3.0,14.0,26.0,1924.0,0.0,2.0,1768.0,3.0,20.0,94.0,4018.0,59.0,16.0,4621.0,1.0,18.0,120.0,3018.0,44.0,2.0,3161.0,0.0,17.0,37.0,1314.0,8.0,4.0,1260.0,0.0,8.0,1.0,4387.0,66.0,14.0,3803.0,1.0,14.0,44.0,2457.0,31.0,4.0,3606.0,0.0,24.0,97.0,2059.0,21.0,1.0,1475.0,0.0,14.0,21.0,1322.0,1.0,2.0,1359.0,1.0,15.0
22,4233792301,0.0,26.0,2012.0,3.0,0.0,2198.0,1.0,12.0,20.0,2105.0,1.0,5.0,1719.0,2.0,22.0,41.0,4132.0,47.0,8.0,2419.0,4.0,17.0,44.0,3256.0,40.0,6.0,3567.0,2.0,12.0,29.0,2405.0,24.0,3.0,3797.0,0.0,15.0,71.0,1762.0,4.0,0.0,1897.0,1.0,15.0,55.0,2518.0,21.0,0.0,2060.0,2.0,11.0,21.0,3623.0,35.0,10.0,4323.0,4.0,11.0,79.0,1674.0,1.0,0.0,2316.0,2.0,17.0,18.0,3256.0,48.0,8.0,2974.0,0.0,10.0
22,4233792283,0.0,71.0,1763.0,3.0,1.0,1774.0,1.0,11.0,6.0,2320.0,28.0,4.0,3443.0,0.0,13.0,2.0,2414.0,25.0,7.0,2307.0,0.0,12.0,63.0,2259.0,28.0,2.0,3449.0,0.0,8.0,21.0,2916.0,14.0,3.0,3074.0,3.0,19.0,9.0,2693.0,34.0,7.0,2528.0,0.0,10.0,50.0,1719.0,4.0,4.0,1904.0,1.0,12.0,82.0,5021.0,87.0,9.0,6360.0,2.0,19.0,44.0,2687.0,34.0,3.0,1770.0,0.0,16.0,84.0,1690.0,9.0,12.0,2100.0,0.0,9.0
